season_name,player_id,player_name,minutes_played,offensive_goals_added,offensive_goals_added_90,player_age,guaranteed_compensation_1,minutes_played_1,share_team_touches_1,attempted_passes_1,completed_passes_1,total_distance_yds_1,total_vertical_distance_yds_1,xcompleted_passes_1,goals_added_above_avg_Dribbling_1,goals_added_above_avg_Fouling_1,goals_added_above_avg_Interrupting_1,goals_added_above_avg_Passing_1,goals_added_above_avg_Receiving_1,goals_added_above_avg_Shooting_1,guaranteed_compensation_2,minutes_played_2,share_team_touches_2,attempted_passes_2,completed_passes_2,total_distance_yds_2,total_vertical_distance_yds_2,xcompleted_passes_2,goals_added_above_avg_Dribbling_2,goals_added_above_avg_Fouling_2,goals_added_above_avg_Interrupting_2,goals_added_above_avg_Passing_2,goals_added_above_avg_Receiving_2,goals_added_above_avg_Shooting_2,guaranteed_compensation_3,minutes_played_3,share_team_touches_3,attempted_passes_3,completed_passes_3,total_distance_yds_3,total_vertical_distance_yds_3,xcompleted_passes_3,goals_added_above_avg_Dribbling_3,goals_added_above_avg_Fouling_3,goals_added_above_avg_Interrupting_3,goals_added_above_avg_Passing_3,goals_added_above_avg_Receiving_3,goals_added_above_avg_Shooting_3,played_two_years_ago,played_three_years_ago,primary_position_AM,primary_position_CB,primary_position_CM,primary_position_DM,primary_position_FB,primary_position_ST,primary_position_W
2014,0x5gNWmM7O,Nat Borchers,3285.0,-0.5541,-0.0151808219178082,32.0,211973.0,3296.0,0.0741424242424242,1134.0,972.0,25590.4076,9830.7579,962.7403,0.0159,0.0033,-0.492,-0.8024,0.1546,-0.0648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,False,False,False,False
2014,0x5gP3gXq7,Matt Miazga,549.0,0.0114,0.0018688524590163,18.0,66250.0,19.0,0.0114,2.0,2.0,50.4794,7.935,1.7142,-0.0242,-0.0108,0.0273,0.0023,-0.0043,-0.0021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,False,False,False,False
2014,0x5gPvZRq7,Eriq Zavaleta,1438.0,-0.6706000000000001,-0.0419707927677329,21.0,95600.0,54.0,0.00642,12.0,9.0,155.4785,-12.7935,7.2265,-0.0349,-0.0059,-0.0119,-0.0021,0.222,0.0291999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,True
2014,0x5gPvkrq7,Michael Seaton,66.0,0.3968,0.5410909090909092,17.0,38125.0,127.0,0.0263333333333333,26.0,21.0,285.1856,-9.135599999999998,21.297,-0.0455,-0.0327,0.0540999999999999,0.0019999999999999,-0.1592,-0.0913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,True,False
2014,0x5gZZXM7O,Jacob Peterson,1414.0,-0.6745000000000001,-0.0429314002828854,27.0,104833.0,1082.0,0.0388210526315789,307.0,211.0,4904.6873,427.1759,213.4221,-0.4656,-0.0401,-0.1686,-0.3396,-0.1478,-0.2312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,True
2014,0x5gjnwM7O,Mauro Díaz,1125.0,2.2093,0.1767439999999999,22.0,398000.0,463.0,0.05273,240.0,176.0,4974.219,1438.9346,181.9682,0.4383999999999999,-0.0621,-0.1193,0.0513,-0.0289999999999999,0.1686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,True
2014,2lqR6rAqr0,Ibrahim Sekagya,2564.0,-0.3197,-0.011221918876755,33.0,159000.0,989.0,0.09436,405.0,342.0,9921.6567,4044.5793,337.5236,-0.0639,-0.4099,-0.1211,0.0516,-0.1851,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,False,False,False,False
2014,2lqRNNaqr0,Jordan Harvey,3282.0,0.4227,0.0115914076782449,29.0,112500.0,2259.0,0.0906541666666666,958.0,747.0,18515.39,6831.984,745.1564999999999,-0.2793,0.436,-0.0203999999999999,-0.1962,-0.045,0.0194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,False,False
2014,2lqRRYpJqr,Connor Lade,34.0,-0.04,-0.1058823529411764,24.0,59213.2,185.0,0.044,100.0,74.0,2019.1104,961.3575,80.0118,-0.0868999999999999,0.0106,-0.023,0.0088,0.0112,-0.0341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,True
2014,2lqRRrWLqr,Martín Rivero,618.0,-0.2097999999999999,-0.0305533980582524,24.0,75000.0,831.0,0.0550235294117647,428.0,326.0,9082.3557,1630.8712,331.6041,0.338,-0.0258999999999999,-0.3183,0.0293999999999999,-0.1835,-0.1509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,True
