season_name,player_id,player_name,guaranteed_compensation_1,offensive_goals_added_90_proj,offensive_goals_added_90_marcel,offensive_goals_added_combo
2023,vzqorrRk5a,Carles Gil,3545830.0,0.1215171459524043,0.1424697646102342,0.13199345528131926
2023,NWMWnVEQlz,Lorenzo Insigne,14000000.0,0.18509810489841128,0.0389659319746129,0.11203201843651209
2023,Oa5wY8RXQ1,Hany Mukhtar,1926250.0,0.10888688657523272,0.1126641097010384,0.11077549813813556
2023,4JMA9R42MK,Adam Buksa,1106250.0,0.04824403496348979,0.1475332240652028,0.09788862951434629
2023,Oa5wVzeWM1,José Cifuentes,411750.0,0.07134437008493281,0.1196598942018106,0.0955021321433717
2023,eV5D9A9qKn,Sebastián Blanco,1708000.0,0.05723218554693067,0.1151304200093062,0.08618130277811845
2023,gpMOa0lnqz,Luiz Araújo,4480330.0,0.06716288044981238,0.0988482191859438,0.08300554981787808
2023,EGMPVykqaY,Andreu Fontàs,1125000.0,0.07493990131463436,0.0904375273275396,0.08268871432108699
2023,kRQabvYbMK,Walker Zimmerman,2345210.0,0.08022255090525997,0.0803333295243365,0.08027794021479823
2023,Pk5LedyLqO,Thiago Almada,2332000.0,0.09621159503546248,0.0634624559959224,0.07983702551569244
2023,315VXoL7Q9,Emanuel Reynoso,1066910.0,0.06480308454460414,0.0805662395141539,0.07268466202937901
2023,KAqBrrVqbg,Darwin Quintero,661250.0,0.029834356798969633,0.1141018797101892,0.07196811825457941
2023,Pk5LgAwOMO,Juan Hernández,2886000.0,0.0719749564306293,0.0610588268735564,0.06651689165209285
2023,ljqE2VkOQx,Luciano Acosta,2222850.0,0.07056399752836738,0.0622804078211399,0.06642220267475364
2023,eV5DWXJMKn,Chicharito,7443750.0,0.058664073026511096,0.0698750621458301,0.0642695675861706
2023,p6qbOeRXQ0,Jordan Morris,1370100.0,0.031927856208798636,0.0959061255085411,0.06391699085866986
2023,odMXRxV2qY,Denis Bouanga,2083330.0,0.048478063015119935,0.0787620016270313,0.06362003232107562
2023,Oa5wJkgM14,Carlos Vela,4050000.0,0.03802628531221761,0.0890217293979242,0.06352400735507091
2023,7VqGj7ee5v,Lassi Lappalainen,540000.0,0.03674666881521267,0.0863109497760432,0.061528809295627936
2023,gjMNReABMK,Marcelino Moreno,568333.0,0.03286715125385654,0.0829338083211551,0.057900479787505815
2023,KXMeklJ1q6,Valentín Castellanos,1076000.0,0.03466722560131395,0.0805831523635271,0.05762518898242053
2023,kRQa22abMK,Bill Tuiloma,304450.0,0.04126238057516643,0.0710702766320497,0.05616632860360807
2023,2vQ14d4xqr,Riqui Puig,1695000.0,0.03951384930997727,0.0704961510432373,0.05500500017660728
2023,2lqRk1raQr,Kamal Miller,345000.0,0.059757384302668415,0.0474058170539684,0.05358160067831841
2023,315VXPJEQ9,Julio Cascante,337500.0,0.05576969681728465,0.0501258091051389,0.05294775296121178
2023,a35rlRnwQL,Francisco Calvo,925937.0,0.04322312601013482,0.0609810052268971,0.052102065618515964
2023,wvq90Ym5Wn,Xherdan Shaqiri,8153000.0,0.0981998525303725,0.0059638458800446,0.05208184920520855
2023,gpMOz1KyQz,Diego Rubio,629583.0,0.04725380486762402,0.0543818171985745,0.050817811033099264
2023,gOMnRPxXMw,Michael Barrios,680000.0,0.02228108810165879,0.0778375584516149,0.05005932327663684
2023,KPqjzJ2q6v,Maximiliano Morález,1300000.0,0.039520731971541455,0.0604339733184158,0.04997735264497863
2023,2lqRk3lnQr,Keaton Parks,500000.0,0.0017685241273685242,0.0930417014655591,0.04740511279646381
2023,9vQ22nALQK,Daniel Ríos,251500.0,0.021503048770033027,0.0709480381291518,0.04622554344959241
2023,KXMe4l1Q64,Alejandro Bedoya,1110000.0,0.03606192910651897,0.0560897229990034,0.046075826052761185
2023,OlMl9jG05L,Cory Burke,450770.0,0.017049412716876045,0.074955657967671,0.04600253534227352
2023,vzqorjWv5a,Alexander Callens,814000.0,0.05171261557630817,0.039666885859808,0.045689750718058086
2023,aDQ0PwXWQE,Efrain Álvarez,712167.0,0.018212320216149366,0.0713841410312705,0.04479823062370993
2023,Oa5wAaRjQ1,Talles Magno,1198000.0,0.030532632962196708,0.0584005218372515,0.04446657739972411
2023,wvq9pAjl5W,Ryan Hollingshead,393750.0,0.0296262177278672,0.058471661291738,0.0440489395098026
2023,9z5ka8adQA,Ryan Gauld,2265000.0,0.029209504202142876,0.058463169830842,0.043836337016492435
2023,gOMnYZnAQw,Mamadou Fall,118750.0,0.031090245948764993,0.0559273996477749,0.043508822798269946
2023,e7Mz9GBOQr,Mikael Uhre,1666250.0,0.03411998738799422,0.0524104413683845,0.04326521437818936
2023,eVq3xXL6QW,Brian Rodríguez,1144800.0,0.010714445857182996,0.0748853163028647,0.04279988108002385
2023,KPqjoVdYQ6,Romell Quioto,885000.0,0.020249714978110137,0.0602899678702476,0.04026984142417887
2023,e7MzZprjMr,William Agada,246875.0,0.014985030409069131,0.0643862483666453,0.03968563938785722
2023,gOMnR0wlMw,Julian Gressel,969781.0,0.035650822533363574,0.041860298354346,0.03875556044385479
2023,0Oq6wv26Q6,Jonathan Lewis,435000.0,0.013463719911313553,0.0639486456206976,0.03870618276600558
2023,KAqB9bKv5b,Joel Waterman,133909.0,0.0424569134928467,0.0348053171031058,0.03863111529797625
2023,KPqjKkPNQ6,Brandon Bye,343813.0,0.03748266310706887,0.039731251460799,0.03860695728393393
2023,KAqB9XzA5b,Alan Franco,667500.0,0.04068710655964386,0.031819511469978,0.03625330901481093
